
Active Connections

  Proto  Local Address          Foreign Address        State           Offload State
  TCP    127.0.0.1:6864         0.0.0.0:0              LISTENING       InHost      
  TCP    127.0.0.1:6880         0.0.0.0:0              LISTENING       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58707        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58708        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58709        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58710        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58711        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58712        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58713        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58714        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58715        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58716        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58717        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58718        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58719        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58720        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58721        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58722        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58723        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58724        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58725        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58736        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58737        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58738        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58739        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58740        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58741        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58742        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58743        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58744        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58745        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58746        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58757        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58760        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58761        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58762        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58763        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58764        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58765        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58766        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58767        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58768        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58769        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58770        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58771        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58772        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58773        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58774        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58775        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58776        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58777        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58778        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58779        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58780        TIME_WAIT       InHost      
  TCP    127.0.0.1:6880         127.0.0.1:58781        TIME_WAIT       InHost      
